,Make,Model,Style,Fuel_type,Transmission
0,Toyota,Prius,Hatchback,Hybrid,1
1,Renault,Grand Scenic,Universal,Diesel,0
2,Renault,Laguna,Universal,Diesel,0
3,Opel,Astra,Universal,Metan/Propan,0
4,Mercedes,Vito,Microvan,Diesel,0
5,Volkswagen,Passat,Universal,Petrol,0
6,Volkswagen,Touareg,SUV,Diesel,1
7,Mercedes,Series (W124),Sedan,Petrol,0
8,BMW,5 Series,Sedan,Diesel,0
9,Mercedes,E Class,Sedan,Diesel,1
10,Mercedes,Rare,Coupe,Diesel,1
11,BMW,7 Series,Sedan,Petrol,0
12,Volkswagen,Golf,Universal,Petrol,1
13,Volkswagen,Rare,Hatchback,Petrol,0
14,Volvo,XC60,Crossover,Diesel,1
15,Nissan,Qashqai,Crossover,Diesel,0
16,Hyundai,Matrix,Universal,Diesel,0
17,Audi,Rare,Hatchback,Diesel,1
18,Mercedes,E Class,Universal,Metan/Propan,0
19,GAZ,Rare,Sedan,Petrol,0
20,Renault,Megane,Universal,Diesel,0
21,Rare,Rare,Hatchback,Electric,1
22,Mercedes,E Class,Sedan,Diesel,1
23,Lincoln,Rare,Sedan,Hybrid,1
24,Lexus,NX Series,Crossover,Petrol,1
25,Dodge,Rare,Hatchback,Metan/Propan,1
26,Audi,100,Sedan,Petrol,0
27,Porsche,Cayenne,Crossover,Diesel,1
28,Lexus,RX Series,SUV,Hybrid,1
29,Volkswagen,Passat,Sedan,Metan/Propan,1
30,BMW,Rare,Crossover,Diesel,1
31,Mercedes,Rare,Crossover,Diesel,1
32,Opel,Vectra,Sedan,Petrol,0
33,BMW,7 Series,Sedan,Diesel,1
34,Volkswagen,Touran,Minivan,Diesel,1
35,Volkswagen,Passat,Universal,Metan/Propan,1
36,Toyota,Auris,Sedan,Diesel,0
37,Nissan,Qashqai,Hatchback,Diesel,0
38,BMW,3 Series,Minivan,Diesel,1
39,BMW,5 Series,Sedan,Petrol,1
40,Dacia,Logan,Sedan,Metan/Propan,0
41,Dacia,Duster,SUV,Diesel,0
42,Volkswagen,Golf,Universal,Petrol,0
43,Volkswagen,Passat,Sedan,Petrol,0
44,BMW,3 Series,Sedan,Diesel,0
45,Nissan,Qashqai,Crossover,Diesel,0
46,Peugeot,Rare,Crossover,Diesel,1
47,BMW,X5,SUV,Petrol,1
48,Renault,Megane,Universal,Diesel,0
49,Nissan,Qashqai,SUV,Diesel,0
50,Ford,Transit Connect,Minivan,Diesel,0
51,Renault,Scenic,Microvan,Diesel,0
52,BMW,7 Series,Sedan,Diesel,1
53,Volkswagen,Polo,Hatchback,Diesel,0
54,BMW,5 Series,Sedan,Diesel,1
55,Vaz,2121niva,Minivan,Petrol,0
56,BMW,5 Series,Sedan,Petrol,0
57,Nissan,Rare,Hatchback,Petrol,0
58,Toyota,Avensis,Sedan,Metan/Propan,0
59,Honda,CR-V,Universal,Petrol,0
60,BMW,5 Series,Sedan,Diesel,1
61,Honda,CR-V,Crossover,Diesel,0
62,Nissan,Rare,Hatchback,Diesel,0
63,Volkswagen,Passat,Universal,Metan/Propan,0
64,Opel,Astra,Hatchback,Diesel,0
65,Skoda,Rapid,Universal,Petrol,1
66,Volkswagen,Sharan,Minivan,Diesel,0
67,Nissan,Qashqai,Crossover,Petrol,1
68,Skoda,Superb,Sedan,Diesel,1
69,Toyota,Land Cruiser,SUV,Metan/Propan,1
70,Toyota,Corolla,Universal,Diesel,0
71,Mazda,Rare,SUV,Petrol,0
72,Chevrolet,Rare,Hatchback,Plug-in Hybrid,1
73,Mercedes,Rare,Crossover,Petrol,1
74,Volkswagen,Passat,Universal,Petrol,0
75,Volkswagen,Touareg,SUV,Diesel,1
76,BMW,5 Series,Sedan,Petrol,0
77,Renault,Megane,Universal,Diesel,0
78,Toyota,C-HR,Crossover,Hybrid,1
79,BMW,7 Series,Sedan,Petrol,0
80,Mercedes,E Class,Sedan,Diesel,1
81,Audi,Rare,Hatchback,Petrol,1
82,Renault,Clio,Hatchback,Diesel,0
83,Citroen,C3,Hatchback,Diesel,1
84,Audi,A6,Sedan,Metan/Propan,0
85,Ford,Fusion,Sedan,Hybrid,1
86,Toyota,Prius,Sedan,Plug-in Hybrid,1
87,Volkswagen,Vento,Sedan,Petrol,0
88,Renault,Rare,Crossover,Diesel,1
89,Lexus,CT Series,Hatchback,Hybrid,1
90,Volvo,XC60,SUV,Diesel,1
91,Dacia,Rare,Minivan,Diesel,0
92,Hyundai,Rare,Hatchback,Petrol,0
93,Lexus,CT Series,Hatchback,Hybrid,1
94,Volvo,XC90,SUV,Diesel,0
95,Hyundai,Getz,Hatchback,Petrol,0
96,Mercedes,A Class,Hatchback,Metan/Propan,1
97,Mercedes,C Class,Coupe,Petrol,0
98,Jaguar,Rare,Sedan,Diesel,1
99,Mercedes,E Class,Sedan,Petrol,1
100,Skoda,Octavia,Universal,Petrol,0
101,Opel,Astra,Universal,Diesel,0
102,Skoda,Superb,Sedan,Diesel,1
103,Volkswagen,Rare,Pickup,Diesel,0
104,Mercedes,Vito,Minivan,Diesel,1
105,Nissan,Qashqai,Crossover,Diesel,0
106,BMW,5 Series,Sedan,Petrol,1
107,Renault,Megane,Universal,Diesel,0
108,Ford,Mondeo,Sedan,Diesel,0
109,Toyota,C-HR,Crossover,Hybrid,1
110,Nissan,Qashqai,Crossover,Diesel,0
111,Toyota,Auris,Universal,Hybrid,1
112,Toyota,C-HR,Crossover,Hybrid,1
113,Peugeot,Rare,Crossover,Diesel,1
114,Renault,Kadjar,Crossover,Diesel,1
115,Lexus,NX Series,SUV,Hybrid,1
116,Volkswagen,Passat,Sedan,Petrol,1
117,Infiniti,Rare,Crossover,Diesel,1
118,Volkswagen,Passat,Universal,Metan/Propan,0
119,Hyundai,Matrix,Hatchback,Diesel,0
120,Honda,Civic,Hatchback,Petrol,1
121,Renault,Kadjar,Crossover,Diesel,1
122,Skoda,Octavia,Sedan,Diesel,1
123,Skoda,Superb,Sedan,Diesel,1
124,Toyota,Corolla,Universal,Diesel,1
125,Volvo,Rare,Sedan,Petrol,1
126,Land Rover,Freelander,SUV,Diesel,0
127,BMW,5 Series,Sedan,Diesel,1
128,Volkswagen,Passat,Universal,Petrol,0
129,KIA,Rare,Sedan,Metan/Propan,0
130,Seat,Rare,Combi,Diesel,0
131,Skoda,Fabia,Minivan,Diesel,0
132,Mitsubishi,Outlander,SUV,Petrol,1
133,Ford,Focus,Universal,Diesel,0
134,Renault,Megane,Universal,Diesel,0
135,Honda,Civic,Universal,Petrol,0
136,Hyundai,Tucson,Crossover,Metan/Propan,1
137,Renault,Rare,Sedan,Petrol,0
138,Audi,A4,Sedan,Petrol,1
139,Audi,Rare,Hatchback,Electric,1
140,Lexus,CT Series,Sedan,Hybrid,1
141,Toyota,Auris,Universal,Diesel,0
142,Vaz,2107,Sedan,Petrol,0
