,Year,Distance,Engine_capacity(cm3),Price(euro)
0,2011,195000.0,1800.0,7750.0
1,2014,135000.0,1500.0,8550.0
2,2012,110000.0,1500.0,6550.0
3,2006,200000.0,1600.0,4100.0
4,2000,300000.0,2200.0,3490.0
5,2010,290000.0,1390.0,5600.0
6,2010,220000.0,2400.0,17000.0
7,1991,240000.0,2300.0,2850.0
8,2004,325000.0,300.0,3400.0
9,2010,210000.0,2200.0,11400.0
10,2006,300000.0,3200.0,11800.0
11,1998,285000.0,3500.0,3990.0
12,2007,238371.0,1400.0,5000.0
13,2010,150000.0,1200.0,5500.0
14,2012,180000.0,2400.0,15900.0
15,2011,251000.0,1500.0,8300.0
16,2005,383000.0,1500.0,3200.0
17,2009,248000.0,2000.0,9299.0
18,2004,315000.0,1800.0,6900.0
19,1992,68000.0,2445.0,2222.0
20,2011,171000.0,1500.0,5700.0
21,2013,113000.0,367.0,27000.0
22,2014,275500.0,2200.0,18350.0
23,2017,157000.0,1998.0,17800.0
24,2017,76000.0,1998.0,27999.0
25,2008,113486.0,1998.0,4495.0
26,1993,235000.0,2000.0,2950.0
27,2012,253444.0,3000.0,30222.0
28,2009,250000.0,3500.0,17990.0
29,2012,179000.0,1400.0,9800.0
30,2015,169777.0,2000.0,16888.0
31,2017,71333.0,2500.0,43404.0
32,1994,340000.0,1800.0,1500.0
33,2007,300000.0,3000.0,11500.0
34,2004,280000.0,200.0,5300.0
35,2010,228000.0,1400.0,5700.0
36,2010,185000.0,1400.0,6500.0
37,2009,200415.0,1500.0,6200.0
38,2016,136000.0,2000.0,13200.0
39,2003,250000.0,3000.0,7490.0
40,2014,195000.0,1200.0,3999.0
41,2015,170000.0,1500.0,8800.0
42,2010,191500.0,1400.0,5700.0
43,1991,292000.0,1800.0,1150.0
44,2004,250000.0,2000.0,4499.0
45,2015,158000.0,1500.0,11750.0
46,2018,132000.0,1500.0,16500.0
47,2005,260500.0,3000.0,8999.0
48,2005,11111.0,1500.0,3200.0
49,2013,180000.0,1500.0,8999.0
50,2012,151658.0,1800.0,3899.0
51,2015,185480.0,1461.0,7550.0
52,2009,215210.0,3000.0,16500.0
53,2007,305988.0,1400.0,3250.0
54,2014,231250.0,2000.0,18000.0
55,2004,12000.0,1700.0,1800.0
56,1998,11111.0,2500.0,3200.0
57,2014,87100.0,1200.0,7950.0
58,2000,420000.0,1600.0,2999.0
59,2002,275100.0,2000.0,5900.0
60,2015,180236.0,2000.0,21500.0
61,2010,183000.0,2200.0,12999.0
