,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
0,50,92,2011,4,195000.0,1800.0,2,1,7750.0,17727.272727272728
1,41,62,2014,11,135000.0,1500.0,0,0,8550.0,16875.0
2,41,71,2012,11,110000.0,1500.0,0,0,6550.0,11000.0
3,37,23,2006,11,200000.0,1600.0,3,0,4100.0,12500.0
4,32,124,2000,5,300000.0,2200.0,0,0,3490.0,13636.363636363636
5,53,88,2010,11,290000.0,1390.0,4,0,5600.0,24166.666666666668
6,53,116,2010,9,220000.0,2400.0,0,1,17000.0,18333.333333333332
7,32,108,1991,10,240000.0,2300.0,4,0,2850.0,7741.935483870968
8,4,9,2004,10,325000.0,300.0,0,0,3400.0,18055.555555555555
9,32,48,2010,10,210000.0,2200.0,0,1,11400.0,17500.0
10,32,101,2006,2,300000.0,3200.0,0,1,11800.0,18750.0
11,4,12,1998,10,285000.0,3500.0,4,0,3990.0,11875.0
12,53,61,2007,11,238371.0,1400.0,4,1,5000.0,15891.4
13,53,101,2010,4,150000.0,1200.0,4,0,5500.0,12500.0
14,54,129,2012,3,180000.0,2400.0,0,1,15900.0,18000.0
15,36,95,2011,3,251000.0,1500.0,0,0,8300.0,22818.18181818182
16,21,79,2005,11,383000.0,1500.0,0,0,3200.0,22529.41176470588
17,3,101,2009,4,248000.0,2000.0,0,1,9299.0,19076.923076923078
18,32,48,2004,11,315000.0,1800.0,3,0,6900.0,17500.0
19,18,101,1992,10,68000.0,2445.0,4,0,2222.0,2266.6666666666665
20,41,80,2011,11,171000.0,1500.0,0,0,5700.0,15545.454545454546
21,40,101,2013,4,113000.0,367.0,1,1,27000.0,12555.555555555555
22,32,48,2014,10,275500.0,2200.0,0,1,18350.0,34437.5
23,30,101,2017,10,157000.0,1998.0,2,1,17800.0,31400.0
24,28,84,2017,3,76000.0,1998.0,4,1,27999.0,15200.0
25,15,101,2008,4,113486.0,1998.0,3,1,4495.0,8106.142857142857
26,3,0,1993,10,235000.0,2000.0,4,0,2950.0,8103.448275862069
27,39,39,2012,3,253444.0,3000.0,0,1,30222.0,25344.4
28,28,97,2009,9,250000.0,3500.0,2,1,17990.0,19230.76923076923
29,53,88,2012,10,179000.0,1400.0,3,1,9800.0,17900.0
30,4,101,2015,3,169777.0,2000.0,0,1,16888.0,24253.85714285714
31,32,101,2017,3,71333.0,2500.0,0,1,43404.0,14266.6
32,37,122,1994,10,340000.0,1800.0,4,0,1500.0,12142.857142857143
33,4,12,2007,10,300000.0,3000.0,0,1,11500.0,20000.0
34,53,117,2004,6,280000.0,200.0,0,1,5300.0,15555.555555555555
35,53,88,2010,11,228000.0,1400.0,3,1,5700.0,19000.0
36,50,24,2010,10,185000.0,1400.0,0,0,6500.0,15416.666666666666
37,36,95,2009,4,200415.0,1500.0,0,0,6200.0,15416.538461538461
38,4,6,2016,6,136000.0,2000.0,0,1,13200.0,22666.666666666668
39,4,9,2003,10,250000.0,3000.0,4,1,7490.0,13157.894736842105
40,12,76,2014,10,195000.0,1200.0,3,0,3999.0,24375.0
41,12,47,2015,9,170000.0,1500.0,0,0,8800.0,24285.714285714286
42,53,61,2010,11,191500.0,1400.0,4,0,5700.0,15958.333333333334
43,53,88,1991,10,292000.0,1800.0,4,0,1150.0,9419.354838709678
44,4,6,2004,10,250000.0,2000.0,0,0,4499.0,13888.888888888889
45,36,95,2015,3,158000.0,1500.0,0,0,11750.0,22571.428571428572
46,38,101,2018,3,132000.0,1500.0,0,1,16500.0,33000.0
47,4,127,2005,9,260500.0,3000.0,4,1,8999.0,15323.529411764706
48,41,80,2005,11,11111.0,1500.0,0,0,3200.0,653.5882352941177
49,36,95,2013,9,180000.0,1500.0,0,0,8999.0,20000.0
50,17,118,2012,6,151658.0,1800.0,0,0,3899.0,15165.8
51,41,107,2015,5,185480.0,1461.0,0,0,7550.0,26497.14285714286
52,4,12,2009,10,215210.0,3000.0,0,1,16500.0,16554.615384615383
53,53,90,2007,4,305988.0,1400.0,0,0,3250.0,20399.2
54,4,9,2014,10,231250.0,2000.0,0,1,18000.0,28906.25
