,code,Uom,year,period,polution,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
0,CAS_14797-65-0,mg{NO2}/L,2009,2009-01--2009-12,0.0633100513,FRDR609,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
1,CAS_14797-65-0,mg{NO2}/L,2009,2009-01--2009-12,0.04673285135,FRFR238,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
2,EEA_3164-07-6,{massRatio},2009,2009-01--2009-12,132.859,FRFR238,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
3,CAS_14797-55-8,mg{NO3}/L,2009,2009-01--2009-12,11.5783758,FRFR327C,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4,EEA_3151-01-7,mmol/L,2009,2009-01--2009-12,0.2068,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
5,CAS_14797-55-8,mg{NO3}/L,2009,2009-01--2009-12,2.4777919,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
6,CAS_7723-14-0,mg{P}/L,2009,2009-01--2009-12,0.0133,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
7,EEA_3164-08-7,{massRatio},2009,2009-01--2009-12,165.232,FRGR0220,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
8,EEA_3131-01-9,%,2009,2009-01--2009-12,80.9833,FRGR0220,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
9,EEA_3164-07-6,{massRatio},2009,2009-01--2009-12,86.6594,FRGR0220,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
10,CAS_7723-14-0,mg{P}/L,2009,2009-01--2009-12,0.05916669999999999,FRGR0220,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
11,EEA_3161-03-3,mg{N}/L,2009,2009-04--2009-10,0.93,FRGR0220,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
12,EEA_3131-01-9,%,2009,2009-01--2009-12,80.175,FRGR0005B,France,122.299437237519,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
13,EEA_3152-01-0,[pH],2009,2009-01--2009-12,7.689189999999999,FRGR0005B,France,122.299437237519,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
14,EEA_3163-01-7,mg{Si}/L,2009,2009-01--2009-12,9.154580000000001,FRGR0004A,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
15,EEA_3131-01-9,%,2009,2009-01--2009-12,81.3,FRGR0167A,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
16,EEA_3133-01-5,mg{O2}/L,2009,2009-01--2009-12,1.0625,FRGR1496,France,122.299437237519,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
17,CAS_14265-44-2,mg{P}/L,2009,2009-01--2009-12,0.0385596,FRGR1496,France,122.299437237519,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
18,EEA_3152-01-0,[pH],2009,2009-01--2009-12,7.63017,FRGR0004A,France,122.299437237519,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
19,EEA_3161-01-1,mg{N}/L,2009,2009-01--2009-12,1.0,FRDR179,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
20,EEA_3161-05-5,mg{N}/L,2009,2009-01--2009-12,0.2442030000000001,FRDR179,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
21,CAS_14797-65-0,mg{NO2}/L,2009,2009-01--2009-12,0.01999262012,FRDR175B,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
22,CAS_14798-03-9,mg{NH4}/L,2009,2009-01--2009-12,0.15944924800000002,FRDR174,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
23,EEA_3164-07-6,{massRatio},2009,2009-01--2009-12,37.9861,FRDR174,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
24,CAS_7723-14-0,mg{P}/L,2009,2009-01--2009-12,0.056666699999999987,FRDR174,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
25,EEA_3164-01-0,ug/L,2009,2009-01--2009-12,4.125,FRDR174,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
26,EEA_3142-01-6,uS/cm,2009,2009-01--2009-12,503.75,FRDR174,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
27,EEA_3161-01-1,mg{N}/L,2009,2009-01--2009-12,1.0,FRDR174,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
28,EEA_3161-05-5,mg{N}/L,2009,2009-01--2009-12,1.4336799999999998,FRDR174,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
29,EEA_3133-01-5,mg{O2}/L,2009,2009-01--2009-12,1.10833,FRDR173A,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
30,EEA_3142-01-6,uS/cm,2009,2009-01--2009-12,344.667,FRDR173A,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
31,EEA_3133-01-5,mg{O2}/L,2009,2009-01--2009-12,1.76667,FRGR0173,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
32,CAS_14798-03-9,mg{NH4}/L,2009,2009-01--2009-12,0.1060214624,FRGR0173,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
33,EEA_3161-03-3,mg{N}/L,2009,2009-01--2009-12,0.928889,FRGR0173,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
34,CAS_7723-14-0,mg{P}/L,2009,2009-01--2009-12,0.0383333,FRGR1022,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
